,layer,head,aa,attn_occur_norm
3482,8,14,D,1.0554411
3483,8,14,E,1.0400597
3488,8,14,K,0.8803563
3494,8,14,R,0.80605865
3502,8,15,D,1.0930164
3503,8,15,E,1.3363243
3508,8,15,K,1.0276955
3514,8,15,R,0.76678735
3522,8,16,D,0.60290456
3523,8,16,E,0.6117525
3528,8,16,K,1.1906197
3534,8,16,R,1.2465107
3542,8,17,D,1.0644708
3543,8,17,E,1.0269729
3548,8,17,K,1.0228069
3554,8,17,R,1.0796508
3562,8,18,D,0.9796024
3563,8,18,E,0.968324
3568,8,18,K,0.93732846
3574,8,18,R,0.9987349
3582,8,19,D,0.76155436
3583,8,19,E,0.7197488
3588,8,19,K,0.6848678
3594,8,19,R,0.8211558
3602,9,0,D,1.1375453
3603,9,0,E,1.1504563
3608,9,0,K,1.0214647
3614,9,0,R,0.9986289
3622,9,1,D,0.8459777
3623,9,1,E,0.666414
3628,9,1,K,0.8057025
3634,9,1,R,0.8329716
3642,9,2,D,0.79546875
3643,9,2,E,0.75275415
3648,9,2,K,0.7532748
3654,9,2,R,0.8935268
3662,9,3,D,0.73911864
3663,9,3,E,0.56673026
3668,9,3,K,0.7441116
3674,9,3,R,0.8237466
3682,9,4,D,1.0676134
3683,9,4,E,0.96409225
3688,9,4,K,0.98023504
3694,9,4,R,1.0017391
3702,9,5,D,0.9824919
3703,9,5,E,0.8480646
3708,9,5,K,1.0398653
3714,9,5,R,1.2781421
3722,9,6,D,0.95999074
3723,9,6,E,0.9526003
3728,9,6,K,0.9565782
3734,9,6,R,0.96598816
3742,9,7,D,0.9390922
3743,9,7,E,0.7736764
3748,9,7,K,0.7763781
3754,9,7,R,0.88240314
3762,9,8,D,4.873221
3763,9,8,E,4.2870603
3768,9,8,K,0.41379365
3774,9,8,R,0.19443777
3782,9,9,D,0.8874388
3783,9,9,E,0.74562746
3788,9,9,K,0.79078925
3794,9,9,R,0.6818314
3802,9,10,D,0.94746816
3803,9,10,E,0.8879448
3808,9,10,K,0.85893077
3814,9,10,R,0.9086888
3822,9,11,D,1.0791237
3823,9,11,E,0.97374177
3828,9,11,K,0.98336005
3834,9,11,R,1.0090522
3842,9,12,D,0.47540748
3843,9,12,E,0.37216002
3848,9,12,K,0.58074284
3854,9,12,R,0.77002746
3862,9,13,D,0.96799475
3863,9,13,E,2.142337
3868,9,13,K,3.7307627
3874,9,13,R,2.1843572
3882,9,14,D,0.57854325
3883,9,14,E,0.5729793
3888,9,14,K,0.6346168
3894,9,14,R,0.5917402
3902,9,15,D,1.013328
3903,9,15,E,0.88993365
3908,9,15,K,0.8189929
3914,9,15,R,0.9109506
3922,9,16,D,0.87533617
3923,9,16,E,0.9595444
3928,9,16,K,1.0762312
3934,9,16,R,1.2559202
3942,9,17,D,0.95031375
3943,9,17,E,0.88606966
3948,9,17,K,0.91884327
3954,9,17,R,1.062406
3962,9,18,D,0.77183664
3963,9,18,E,0.90930986
3968,9,18,K,1.0778419
3974,9,18,R,1.2069664
3982,9,19,D,1.0099335
3983,9,19,E,0.8577496
3988,9,19,K,0.8624232
3994,9,19,R,0.9250828
4002,10,0,D,0.5757984
4003,10,0,E,0.47790772
4008,10,0,K,0.6430209
4014,10,0,R,0.78763455
4022,10,1,D,0.7958926
4023,10,1,E,0.74783254
4028,10,1,K,0.7925852
4034,10,1,R,0.8626324
4042,10,2,D,0.7376303
4043,10,2,E,0.6630358
4048,10,2,K,0.8303435
4054,10,2,R,0.9855634
4062,10,3,D,0.9259472
4063,10,3,E,0.88992405
4068,10,3,K,0.93382144
4074,10,3,R,0.97111946
4082,10,4,D,1.519666
4083,10,4,E,0.95602006
4088,10,4,K,1.0545124
4094,10,4,R,1.0384732
4102,10,5,D,0.9616199
4103,10,5,E,0.936274
4108,10,5,K,0.93911445
4114,10,5,R,0.974912
4122,10,6,D,0.96727216
4123,10,6,E,0.88692284
4128,10,6,K,0.9387956
4134,10,6,R,0.9661042
4142,10,7,D,0.7277834
4143,10,7,E,0.692784
4148,10,7,K,0.77761245
4154,10,7,R,0.92493224
4162,10,8,D,0.9666093
4163,10,8,E,0.8966487
4168,10,8,K,0.88752896
4174,10,8,R,0.9644479
4182,10,9,D,0.3951724
4183,10,9,E,0.23808183
4188,10,9,K,0.56288546
4194,10,9,R,0.68820167
4202,10,10,D,0.97022724
4203,10,10,E,0.8501839
4208,10,10,K,0.8474189
4214,10,10,R,0.9108965
4222,10,11,D,0.93561786
4223,10,11,E,0.976264
4228,10,11,K,1.4260042
4234,10,11,R,1.0212137
4242,10,12,D,0.6019879
4243,10,12,E,0.5469028
4248,10,12,K,0.6417741
4254,10,12,R,0.8171064
4262,10,13,D,1.0414891
4263,10,13,E,1.0455815
4268,10,13,K,0.9861252
4274,10,13,R,1.0334278
4282,10,14,D,0.84675103
4283,10,14,E,0.84979707
4288,10,14,K,1.0038689
4294,10,14,R,1.1405541
4302,10,15,D,0.90774035
4303,10,15,E,0.8553528
4308,10,15,K,0.9197335
4314,10,15,R,0.9444205
4322,10,16,D,0.6181669
4323,10,16,E,0.5812182
4328,10,16,K,0.88959914
4334,10,16,R,0.891458
4342,10,17,D,0.97163814
4343,10,17,E,0.95090556
4348,10,17,K,0.9565219
4354,10,17,R,0.98710716
4362,10,18,D,1.3288326
4363,10,18,E,1.2854844
4368,10,18,K,1.1385149
4374,10,18,R,1.1016184
4382,10,19,D,1.2520089
4383,10,19,E,1.1526867
4388,10,19,K,1.0899631
4394,10,19,R,1.1263713
4402,11,0,D,0.9910175
4403,11,0,E,0.94278723
4408,11,0,K,0.9112825
4414,11,0,R,0.9455701
4422,11,1,D,1.1915057
4423,11,1,E,1.1715826
4428,11,1,K,1.0435973
4434,11,1,R,0.9986285
4442,11,2,D,0.7925406
4443,11,2,E,0.74610364
4448,11,2,K,0.79401135
4454,11,2,R,0.91250575
4462,11,3,D,1.1792525
4463,11,3,E,1.0274564
4468,11,3,K,0.9618271
4474,11,3,R,0.9482871
4482,11,4,D,1.0063996
4483,11,4,E,0.99796623
4488,11,4,K,0.8869522
4494,11,4,R,0.88815916
4502,11,5,D,0.77931774
4503,11,5,E,0.7180316
4508,11,5,K,0.942353
4514,11,5,R,0.9956518
4522,11,6,D,0.8616653
4523,11,6,E,0.78879315
4528,11,6,K,0.84288114
4534,11,6,R,0.9275437
4542,11,7,D,0.944815
4543,11,7,E,0.87679076
4548,11,7,K,0.90337956
4554,11,7,R,0.94642764
4562,11,8,D,0.8567844
4563,11,8,E,0.7648448
4568,11,8,K,0.8527245
4574,11,8,R,0.805935
4582,11,9,D,0.93268496
4583,11,9,E,0.93420607
4588,11,9,K,0.9320546
4594,11,9,R,0.9498016
4602,11,10,D,0.9717236
4603,11,10,E,0.91256976
4608,11,10,K,0.9967291
4614,11,10,R,1.031795
4622,11,11,D,1.0647538
4623,11,11,E,1.1516207
4628,11,11,K,1.316485
4634,11,11,R,1.2616736
4642,11,12,D,0.6796542
4643,11,12,E,0.65938014
4648,11,12,K,0.75410014
4654,11,12,R,0.95476717
4662,11,13,D,1.070268
4663,11,13,E,0.8198446
4668,11,13,K,0.8701911
4674,11,13,R,0.9320554
4682,11,14,D,0.45637357
4683,11,14,E,0.36889172
4688,11,14,K,0.4832695
4694,11,14,R,0.7120244
4702,11,15,D,0.67124003
4703,11,15,E,0.6413077
4708,11,15,K,0.69624275
4714,11,15,R,0.7895944
4722,11,16,D,0.43750095
